company,year,metric,value,source,comments,answer_url,item_url
Joe Fresh,2025,Clean Clothes Campaign+Supply Chain Transparency Score,2.5,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Joe_Fresh.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Joe_Fresh+2025.json
Tom Tailor,2025,Clean Clothes Campaign+Supply Chain Transparency Score,7.5,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Tom_Tailor.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Tom_Tailor+2025.json
Ermenegildo Zegna,2025,Clean Clothes Campaign+Supply Chain Transparency Score,7.5,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Ermenegildo_Zegna.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Ermenegildo_Zegna+2025.json
Max Mara,2025,Clean Clothes Campaign+Supply Chain Transparency Score,0.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Max_Mara.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Max_Mara+2025.json
Calzedonia,2025,Clean Clothes Campaign+Supply Chain Transparency Score,10.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Calzedonia.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Calzedonia+2025.json
New Yorker,2025,Clean Clothes Campaign+Supply Chain Transparency Score,0.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+New_Yorker.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+New_Yorker+2025.json
Anta Sports Products,2025,Clean Clothes Campaign+Supply Chain Transparency Score,0.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Anta_Sports_Products.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Anta_Sports_Products+2025.json
Aritzia,2025,Clean Clothes Campaign+Supply Chain Transparency Score,0.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Aritzia.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Aritzia+2025.json
Jack Wolfskin,2025,Clean Clothes Campaign+Supply Chain Transparency Score,5.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Jack_Wolfskin.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Jack_Wolfskin+2025.json
Hermes International,2025,Clean Clothes Campaign+Supply Chain Transparency Score,2.5,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Hermes_International.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Hermes_International+2025.json
Lee (brand),2025,Clean Clothes Campaign+Supply Chain Transparency Score,7.5,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Lee_brand.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Lee_brand+2025.json
Christian Dior,2025,Clean Clothes Campaign+Supply Chain Transparency Score,0.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Christian_Dior.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Christian_Dior+2025.json
Vans,2025,Clean Clothes Campaign+Supply Chain Transparency Score,7.5,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Vans.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Vans+2025.json
Mr Price,2025,Clean Clothes Campaign+Supply Chain Transparency Score,0.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Mr_Price.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Mr_Price+2025.json
Coach Stores Limited,2025,Clean Clothes Campaign+Supply Chain Transparency Score,5.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Coach_Stores_Limited.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Coach_Stores_Limited+2025.json
Falabella,2025,Clean Clothes Campaign+Supply Chain Transparency Score,0.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Falabella.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Falabella+2025.json
Eddie Bauer,2025,Clean Clothes Campaign+Supply Chain Transparency Score,0.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Eddie_Bauer.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Eddie_Bauer+2025.json
Bosideng International Holdings Limited,2025,Clean Clothes Campaign+Supply Chain Transparency Score,0.0,,,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Bosideng_International_Holdings_Limited.json,https://wikirate.org/Clean_Clothes_Campaign+Supply_Chain_Transparency_Score+Bosideng_International_Holdings_Limited+2025.json
