company,year,metric,value,source,comments,answer_url,item_url
Arcadia Group,2019,Clean Clothes Campaign+Living Wage Action Plan,Partial,"Source-000091807
Source-000097886","YesNohttp://arcadiafashionfootprint.co.uk/ - page 11 Laureen van Breen[https://wikirate.org/Laureen_van_Breen].....2020-04-10 18:39:21 UTC says it is working on improving wages for workers across its supplier network. However, it does not meet all elements of a public, time-bound action plan. http://arcadiafashionfootprint.co.uk/ Clean Clothes Campaign[https://wikirate.org/Clean_Clothes_Campaign].....2020-06-04 07:34:18 UTC",https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Arcadia_Group.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Arcadia_Group+2019.json
Decathlon Group,2019,Clean Clothes Campaign+Living Wage Action Plan,No,Source-000091807,has no public plan describing how to improve wages for workers across its supplier network. Clean Clothes Campaign[https://wikirate.org/Clean_Clothes_Campaign].....2020-06-04 07:34:47 UTC,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Decathlon_Group.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Decathlon_Group+2019.json
Pentland Brands Ltd,2019,Clean Clothes Campaign+Living Wage Action Plan,Partial,Source-000091807,"Not public Laureen van Breen[https://wikirate.org/Laureen_van_Breen].....2020-04-10 18:39:38 UTC says it is working on improving wages for workers across its supplier network. However, it does not meet all elements of a public, time-bound action plan. Not public Clean Clothes Campaign[https://wikirate.org/Clean_Clothes_Campaign].....2020-06-04 07:35:59 UTC",https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Pentland_Brands_Ltd.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Pentland_Brands_Ltd+2019.json
Bierbaum-Proenen GmbH & Co KG,2019,Clean Clothes Campaign+Living Wage Action Plan,No,Source-000091807,has no public plan describing how to improve wages for workers across its supplier network. Clean Clothes Campaign[https://wikirate.org/Clean_Clothes_Campaign].....2020-06-04 07:34:34 UTC,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Bierbaum_Proenen_GmbH_Co_KG.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Bierbaum_Proenen_GmbH_Co_KG+2019.json
Boohoo.com,2019,Clean Clothes Campaign+Living Wage Action Plan,No,Source-000091807,has no public plan describing how to improve wages for workers across its supplier network. Clean Clothes Campaign[https://wikirate.org/Clean_Clothes_Campaign].....2020-06-04 07:34:33 UTC,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Boohoo_com.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Boohoo_com+2019.json
Stanley and Stella SA,2019,Clean Clothes Campaign+Living Wage Action Plan,Yes,Source-000091807,"has published a time-bound, public action plan describing how it will achieve a living wage for workers in its supply chain. Clean Clothes Campaign[https://wikirate.org/Clean_Clothes_Campaign].....2020-06-04 07:36:17 UTC",https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Stanley_and_Stella_SA.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Stanley_and_Stella_SA+2019.json
Jack Wolfskin,2019,Clean Clothes Campaign+Living Wage Action Plan,Partial,Source-000091807,"says it is working on improving wages for workers across its supplier network. However, it does not meet all elements of a public, time-bound action plan. Clean Clothes Campaign[https://wikirate.org/Clean_Clothes_Campaign].....2020-06-04 07:35:13 UTC",https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Jack_Wolfskin.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Jack_Wolfskin+2019.json
LaDress,2019,Clean Clothes Campaign+Living Wage Action Plan,Partial,"Source-000091807
Source-000097894","https://www.ladress.com/on/demandware.static/-/Sites-ladress-Library/default/dwc32fcd5a/PDF/IMVO_beleid_LaDress_NL.pdf pp 12, 13 Laureen van Breen[https://wikirate.org/Laureen_van_Breen].....2020-04-10 18:40:22 UTC says it is working on improving wages for workers across its supplier network. However, it does not meet all elements of a public, time-bound action plan. https://www.ladress.com/on/demandware.static/-/Sites-ladress-Library/default/dwc32fcd5a/PDF/IMVO_beleid_LaDress_NL.pdf pp 12, 13 Clean Clothes Campaign[https://wikirate.org/Clean_Clothes_Campaign].....2020-06-04 07:35:26 UTC",https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+LaDress.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+LaDress+2019.json
Schijvens,2019,Clean Clothes Campaign+Living Wage Action Plan,Partial,"Source-000091807
Source-000097898","https://www.schijvens.nl/wp-content/uploads/2019/12/Plan-van-Aanpak-2019.pdf p13, 22, 23 Laureen van Breen[https://wikirate.org/Laureen_van_Breen].....2020-04-10 18:39:13 UTC says it is working on improving wages for workers across its supplier network. However, it does not meet all elements of a public, time-bound action plan. https://www.schijvens.nl/wp-content/uploads/2019/12/Plan-van-Aanpak-2019.pdf p13, 22, 23 Clean Clothes Campaign[https://wikirate.org/Clean_Clothes_Campaign].....2020-06-04 07:36:12 UTC",https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Schijvens.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Schijvens+2019.json
Mayerline,2019,Clean Clothes Campaign+Living Wage Action Plan,No,Source-000091807,has no public plan describing how to improve wages for workers across its supplier network. Clean Clothes Campaign[https://wikirate.org/Clean_Clothes_Campaign].....2020-06-04 07:35:41 UTC,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Mayerline.json,https://wikirate.org/Clean_Clothes_Campaign+Living_Wage_Action_Plan+Mayerline+2019.json
